"","Group.1","population_size","parent_size","rank","mutation_variation","mating","crossover_rate","mutation_rate","sigmaShare","alphaShare","score"
"207",207,4,170,1.30396290700883,0.0548945985734463,14,0.973173555359244,0.25100793200545,1.61992698581889,2,7.3748480674688
"96",96,14,132,1.64730369597673,0.0122207755222917,12,0.692365461867303,0.225827834452502,0.918362361844629,2,7.02839896126109
"85",85,41,100,1.28027130514383,0.0082069419324398,11,0.991531124059111,0.0799958879360929,1.18376789381728,1,6.76929884054461
"364",364,15,166,1.31942691137083,0.0219578839838505,22,0.649884413369,0.183774489792995,1.60521639557555,2,6.51116605991695
"293",293,50,178,1.49664559196681,0.0289889477193356,15,0.67526964917779,0.0537943561794236,0.917857999913394,2,6.39875895269822
"340",340,27,166,1.28698713630438,0.00817753644660115,13,0.637482373882085,0.186190868844278,1.57331405859441,2,5.99462113685016
"18",18,37,144,1.64301413018256,0.00399370025843382,24,0.992763659358025,0.222651321208104,1.29377424996346,2,5.94969736287028
"346",346,17,80,1.71733604301699,0.00168402856215835,17,0.806831578351557,0.367223172448575,0.474579941481352,1,5.65165659460944
"378",378,14,144,1.70255538295023,0.029822956211865,19,0.693902482930571,0.248431193991564,0.533941719681025,1,5.54404687541812
"276",276,4,72,1.74911471419036,0.0192032662220299,20,0.625951229222119,0.298258014721796,0.266757449135184,2,5.53957326075587
"235",235,6,160,1.75724846511148,0.0524286140687764,24,0.613542136177421,0.258103127242066,0.734551706817001,2,5.44907267527799
"121",121,57,178,1.63054156322032,0.0084855486638844,21,0.833311216253787,0.465197090175934,1.2491968171671,1,5.44880815331214
"71",71,34,170,1.24227461605333,0.00959159675985575,25,0.990532702021301,0.152485396014526,0.54765911353752,2,5.17813779009436
"2",2,8,98,1.64221427086741,0.0834899843670428,5,0.954982161335647,0.187732927501202,1.87835007579997,2,5.07982783646156
"21",21,59,152,1.44415122745559,0.00710490886121988,23,0.736155037023127,0.476563581381924,1.57678907364607,1,5.07348003342552
"47",47,43,160,1.26825418537483,0.0117985761724412,14,0.881183601729572,0.393094847677276,0.399327663704753,2,5.05691743074613
"394",394,51,172,1.77385958433151,0.00838944539427757,21,0.939931628666818,0.216358594712801,0.509574224241078,1,5.02061721101274
"234",234,6,130,1.64308883990161,0.148971332982183,3,0.754197009839118,0.197629218106158,1.23468407476321,1,4.9279305700143
"344",344,50,138,1.38673064592294,0.0215810299851,18,0.666648000106215,0.146063186344691,0.131640684790909,1,4.72522151048433
"28",28,33,160,1.21174936001189,0.0723882609978318,10,0.72008365066722,0.127065451117232,0.858736782334745,2,4.32314074530404
"285",285,19,100,1.4739283778239,0.232764371298254,25,0.958677786123008,0.0804643596056849,0.522863416466862,1,4.1937517816606
"267",267,13,126,1.75324265398085,0.284092159476131,14,0.686526001989841,0.12327311874833,1.24898849381134,1,4.18542828891683
"92",92,24,108,1.27471826802939,0.0208878911100328,19,0.786064087506384,0.280077490024269,0.335907487664372,1,4.05731572271771
"84",84,27,142,1.48747430099174,0.169768258091062,20,0.855725514981896,0.100346404709853,1.19978854898363,1,3.87990858880633
"296",296,48,124,1.34423734867014,0.0322901736013591,9,0.970286650117487,0.139886924414895,0.75105658872053,2,3.6616193292947
"188",188,12,156,1.43404949367978,0.0496740615926683,3,0.87379586584866,0.273361672298051,0.372072276193649,1,3.63783083541695
"58",58,4,92,1.4227749728132,0.137979410029948,21,0.760601084586233,0.202912881970406,1.81926854187623,1,3.58715643449157
"127",127,6,58,1.5295387704391,0.0925900583155453,7,0.917184208333492,0.081557305296883,1.33137790113688,2,3.53570590434
"17",17,10,140,1.26539750606753,0.0589498150162399,19,0.6569355818443,0.259778588311747,0.967874180991203,1,3.5348954326743
"289",289,18,88,1.70524039235897,0.185410535056144,4,0.955238378886133,0.0657623150618747,1.65488596772775,2,3.49242970081829
