"","Group.1","population_size","parent_size","rank","mutation_variation","mating","crossover_rate","mutation_rate","score"
"272",272,3,8,1.27977173449472,0.293925589881837,10,0.954868519678712,0.396340199862607,3.40516146988923
"13",13,7,18,1.57023738068528,0.203658317402005,10,0.963441033288836,0.373130189138465,2.94149423085054
"125",125,5,30,1.58603972811252,0.192502255458385,27,0.627966750413179,0.339765227166936,2.54843656527699
"333",333,3,62,1.39460595985875,0.385006714519113,25,0.840364305954427,0.26799680723343,2.53442468500611
"287",287,3,10,1.33183791702613,0.294934261031449,5,0.923900666087866,0.0256629831856117,2.4175787310524
"226",226,10,126,1.79326238189824,0.328785327915102,13,0.895534196402878,0.407041239086539,1.73403405818865
"317",317,12,56,1.27008722713217,0.351115994434804,20,0.974397845659405,0.297790885670111,1.38802360141695
"225",225,10,52,1.38662077579647,0.388585942797363,27,0.933021278027445,0.157548456802033,1.15166948179821
"24",24,7,102,1.62545356038027,0.29187580877915,28,0.945585756096989,0.372726514120586,1.07231336966762
"83",83,11,70,1.69922904311679,0.34179935278371,12,0.7170987598598,0.408293926971965,1.03754217611394
"183",183,10,102,1.71243683905341,0.23414961155504,0,0.860254888609052,0.34926611604169,1.02657890030406
"350",350,19,100,1.40313849477097,0.375414272025228,26,0.727720665559173,0.154801108175889,1.00032875317875
"130",130,12,92,1.41868672720157,0.213835324533284,20,0.748000210337341,0.4378549719695,0.898264430110037
"105",105,21,52,1.53966420907527,0.327389618288726,15,0.700852355919778,0.238898716983385,0.89320180722287
"399",399,16,74,1.2406065645162,0.270819278620183,10,0.688831837289035,0.254878855193965,0.854440067249032
"311",311,14,64,1.42886129342951,0.184856655541807,14,0.872546186111867,0.102863653213717,0.837065793116655
"249",249,18,44,1.79914928223006,0.383945426624268,23,0.90639207214117,0.122371275909245,0.812768678115884
"299",299,10,100,1.57187277087942,0.291738483775407,0,0.934810929838568,0.180235470412299,0.799108124687686
"270",270,20,54,1.47569263391197,0.30897756703198,16,0.771731365844607,0.265272455406375,0.783596154898693
"98",98,6,112,1.77222725101747,0.328237335104495,6,0.875910598039627,0.404262744938023,0.741704236470383
"20",20,17,36,1.60637300857343,0.33566402066499,26,0.959873993135989,0.222541414783336,0.732801406693341
"16",16,16,72,1.20001583774574,0.322429776471108,14,0.803468750417233,0.401977472589351,0.646203297811398
"211",211,9,116,1.54665325479582,0.397172875329852,21,0.947820191923529,0.15078560623806,0.638778973326552
"150",150,18,80,1.45430253166705,0.354865629132837,14,0.95652033817023,0.270053013577126,0.637698125037388
"159",159,20,150,1.61348199709319,0.318356137722731,19,0.907987245172262,0.478736252756789,0.614356242860719
"306",306,7,140,1.58184455805458,0.382388485409319,27,0.625825724750757,0.36123787460383,0.565296727720772
"390",390,16,108,1.70137515203096,0.291907072532922,20,0.657543997000903,0.275692646042444,0.534003222398869
"267",267,31,144,1.62040761681274,0.348776152729988,26,0.993862176779658,0.362786872894503,0.515157516207178
"345",345,10,30,1.30467493208125,0.262442520447075,7,0.84013972626999,0.141449954127893,0.493071969857647
"353",353,23,62,1.68170117293485,0.200327228847891,1,0.80482064858079,0.334800721611828,0.484506153284529
"228",228,27,88,1.46463388740085,0.239898259006441,22,0.669576383195817,0.341807770775631,0.48167785469532
"223",223,21,172,1.59150618170388,0.284033038001508,20,0.651635231915861,0.357909118756652,0.457505640220209
"103",103,19,70,1.75873532840051,0.107130207959563,25,0.719419316388667,0.245137036894448,0.449959001389794
"194",194,9,30,1.22687318748794,0.254330533370376,16,0.967343316040933,0.132360080489889,0.449689092942655
"173",173,10,42,1.5508581682574,0.279883385356516,10,0.97235259367153,0.119051257614046,0.434862320971921
"240",240,38,112,1.6410347619094,0.274062735866755,0,0.685839217994362,0.341551116667688,0.420061977531077
"310",310,44,166,1.32233965122141,0.355344495084137,23,0.758218634780496,0.231614214251749,0.408439060050009
"281",281,32,104,1.47942276829854,0.325030990689993,11,0.633475774340332,0.367146688979119,0.408169311511345
"69",69,36,136,1.65512594436295,0.322179263830185,19,0.681876612268388,0.293905301718041,0.403967411324174
"398",398,6,138,1.40514414366335,0.366025633830577,12,0.654814730025828,0.362966410815716,0.383957470858353
"179",179,36,152,1.7319464602042,0.392923020478338,12,0.672854804713279,0.485159215633757,0.361743344946221
"32",32,21,146,1.39062084686011,0.282823795359582,15,0.662959644012153,0.494844326516613,0.293313892602976
"241",241,14,116,1.78245016098954,0.350403929222375,15,0.919680930580944,0.164567762287334,0.293010153995619
"36",36,30,152,1.35456268661655,0.382684132549912,30,0.617516002804041,0.340602981159464,0.28395410134876
"227",227,14,30,1.64881558595225,0.0742088133469224,26,0.683131584338844,0.27672409452498,0.283905077799234
"343",343,18,36,1.76365729579702,0.165975854359567,17,0.669255774468184,0.304569459171034,0.280076667226403
"332",332,17,106,1.4157562920358,0.360576195735484,24,0.841789068561047,0.246688950923271,0.272552552237641
"256",256,19,88,1.22095247553661,0.305355057585984,27,0.819637618865818,0.297916583600454,0.269521755052759
"378",378,54,114,1.52344559915364,0.394805585220456,14,0.605735502857715,0.383378316182643,0.266937697994061
"38",38,28,106,1.7598560960032,0.271837021969259,22,0.840109931211919,0.288126805447973,0.266339009767002
"138",138,25,170,1.69022661019117,0.275922360830009,17,0.735172952432185,0.379717665840872,0.263816057995209
"95",95,29,112,1.57601367146708,0.159176587685943,14,0.677907794062048,0.292221914278343,0.246074046983285
"111",111,16,146,1.47135713221505,0.322697152756155,2,0.716655932925642,0.442334050196223,0.24250700219734
"81",81,27,68,1.68765139114112,0.194987046252936,9,0.64632549257949,0.327444261754863,0.238052428703028
"340",340,36,98,1.360789791774,0.320093296468258,20,0.931307400949299,0.235204010852613,0.237475767792263
"171",171,28,100,1.73186119026504,0.295955721102655,22,0.75877924868837,0.310927613289095,0.234186556054068
"246",246,23,96,1.73078404823318,0.391551560163498,30,0.729406648967415,0.138247904833406,0.222382315816064
"224",224,43,152,1.64307740181685,0.356726319994777,19,0.931342740729451,0.428132776054554,0.215367058228591
"385",385,39,102,1.606685318565,0.323494648188353,31,0.753413944318891,0.487010527867824,0.20494418163925
"359",359,13,28,1.41913442253135,0.223468091152608,17,0.798220959492028,0.424977247137576,0.185762800366924
"373",373,13,112,1.61794109819457,0.325532657001168,18,0.741774752922356,0.197466315934435,0.174366757138116
"90",90,21,142,1.64134634267539,0.293913012929261,6,0.716369053721428,0.194052896113135,0.132502329284028
"221",221,60,132,1.62763898042031,0.373014045227319,4,0.650025860685855,0.488084944197908,0.126681020563325
