"","Group.1","population_size","parent_size","rank","mutation_variation","mating","crossover_rate","mutation_rate","sigmaShare","alphaShare","score"
"217",217,19,46,1.46770019195974,0.00303579177707434,2.70956759992987,0.79858375582844,0.0807785744545981,1.20768028311431,2,7.24998341446013
"102",102,21,84,1.53319004969671,0.0408478207886219,0.0111207773443311,0.71596014034003,0.0765288334805518,0.0663630091585219,1,7.21472786309818
"262",262,13,170,1.31555393650196,0.0420543999411166,2.67348585790023,0.856414853222668,0.201944069354795,0.655129098333418,1,7.06866259241074
"120",120,7,64,1.35928929517977,0.0186464265920222,1.47146554710343,0.68485325910151,0.202808183850721,0.322519009932876,1,7.00905439556802
"153",153,12,186,1.46935232598335,0.0174891266040504,1.62275161128491,0.911897458136082,0.327393611310981,0.918508108705282,2,6.59738819981138
"4",4,31,142,1.54484138865955,0.0151422567665577,1.15758355334401,0.886974303144962,0.203651613206603,1.68868236476555,2,6.50204954334608
"82",82,38,136,1.7268679919187,0.00286102388054132,0.614677648292854,0.794646265730262,0.293497281614691,0.741050065495074,1,6.40365207707306
"269",269,11,186,1.35252873036079,0.00373772429302335,2.23985191108659,0.810761843621731,0.324504081625491,0.0902421278879046,1,5.82803082123477
"15",15,12,230,1.47424790896475,0.0176770781166852,2.21876694518141,0.912284906581044,0.451294672209769,1.11070873308927,2,5.64096812331473
"78",78,6,214,1.42404787112027,0.0310649825260043,2.54726069443859,0.810100497677922,0.346790248760954,0.806582950055599,1,5.2106557836409
"142",142,20,226,1.6225666676648,0.0834935157559812,0.184204946737736,0.823430074565113,0.200622070929967,0.794998389203101,2,5.19344855154308
"197",197,13,190,1.3024018490687,0.162129871826619,1.31339696981013,0.71138894436881,0.183663234813139,0.120454541873187,2,5.17973987462689
"164",164,13,82,1.20091321435757,0.0198445620015264,2.04034409159794,0.933062582556158,0.288876094506122,1.39172791829333,1,5.08765605338157
"119",119,13,76,1.25274412860163,0.0132592966780066,2.13547887979075,0.888077775482088,0.354216115782037,1.72783502098173,2,5.05074995422253
"77",77,24,108,1.7876944818534,0.145598635915667,1.1051590978168,0.935302883945406,0.0654976749792695,1.59669550927356,1,5.02561578280147
"163",163,20,172,1.5589804506395,0.0246507807634771,2.36026222351938,0.753749297559261,0.293705384596251,0.160797935444862,1,4.88215640441735
"226",226,3,114,1.63498280751519,0.0863206162117422,1.51456956379116,0.91528097037226,0.185309682856314,0.0491251666098833,2,4.35919092177552
"161",161,7,90,1.43010545633733,0.194183062296361,1.31147151254117,0.605345835257322,0.102803629240952,1.8713470841758,1,4.07766104040736
"125",125,12,156,1.48527923114598,0.268817426357418,2.21725734346546,0.682667180802673,0.154632777906954,0.0812296182848513,1,4.01069194023061
"90",90,46,204,1.58821406713687,0.0318811681121588,2.10520511702634,0.753972400538623,0.207134554744698,1.34859401313588,2,3.93945989271846
"23",23,11,56,1.25742903258651,0.145236639585346,2.59459068719298,0.645058916602284,0.0589689064072445,0.617214093450457,1,3.23498630963318
"1",1,22,176,1.76669271960855,0.161997696291655,0.863402062794194,0.673577249329537,0.077997337677516,1.84617859544232,2,3.14654995688779
"297",297,6,236,1.6367980455514,0.0829349353909493,1.74345536157489,0.735025567561388,0.0833366167498752,0.62249158276245,2,3.14534457625731
"203",203,18,226,1.3874387729913,0.100395413395017,2.89127488341182,0.98142695184797,0.229800842818804,1.49544110428542,1,3.13392391546575
"13",13,9,232,1.5457508829888,0.252972628828138,1.65677000326104,0.732892308477312,0.155233816709369,1.78411359479651,1,2.88843763659954
"109",109,56,182,1.24830218693241,0.0178017353639007,0.921730217523873,0.82901102360338,0.457518762093969,0.711828417610377,1,2.80428084819676
