"","Group.1","population_size","parent_size","rank","mutation_variation","mating","crossover","score"
"45",45,44,114,1.67201860505156,0.348685558070429,3,0.578353290911764,0.755377158799654
"4",4,66,298,1.92398685286753,0.43289719405584,19,0.861348928883672,0.454030969329389
"15",15,113,292,1.87392230844125,0.390584381413646,14,0.896957224467769,0.451267991477229
"123",123,66,236,1.98945999285206,0.363117670291103,23,0.936555518070236,0.353624700792142
"24",24,48,116,1.26020006393082,0.303489643381909,20,0.640813051722944,0.225142921499119
"143",143,25,124,1.73820682801306,0.211920366971754,10,0.774960414972156,0.183099754644393
"150",150,111,230,1.92153718904592,0.347732556634583,27,0.832848584745079,0.162224972197625
"57",57,16,142,1.64930505515076,0.308608158142306,14,0.734190846094862,0.16086843584982
"76",76,143,292,1.09990840195678,0.447211513062939,30,0.103446453344077,0.15648018740157
"44",44,99,228,1.91219299891964,0.255921689793468,11,0.930995599599555,0.154370588002306
"189",189,31,194,1.06529508787207,0.459113031858578,26,0.880139797460288,0.139626005045256
"11",11,17,160,1.8442127853632,0.468018807820044,27,0.479346827836707,0.128557221280112
"165",165,113,300,1.73776626493782,0.426585185341537,26,0.830804091645405,0.126152707652676
"79",79,84,296,1.46428851550445,0.47239733627066,26,0.953009651741013,0.124943340220139
"61",61,48,254,1.20946250716224,0.39326021715533,21,0.729397983988747,0.124907036640259
"129",129,67,298,1.3451282500755,0.4703660098603,26,0.855573835782707,0.10878430348551
"197",197,126,274,1.49746337137185,0.351085072616115,30,0.901956769404933,0.103422706661027
"151",151,31,130,1.30425356305204,0.463512856396846,17,0.290509868180379,0.0952926690402768
"187",187,23,256,1.16180632286705,0.271292561665177,25,0.982325407676399,0.0893148215287577
"172",172,32,72,1.59867743449286,0.3838049225742,1,0.859820730052888,0.0889483607419928
"115",115,82,174,1.62954340712167,0.444035473512486,14,0.955983482301235,0.0847758957458526
"36",36,23,180,1.14778001396917,0.454090373357758,15,0.292017359752208,0.0811597378343008
"103",103,29,138,1.07504809834063,0.446103381924331,23,0.662354250671342,0.0809404052424099
"52",52,147,296,1.36916255834512,0.290391455520876,7,0.982809260487556,0.0794836310784221
"14",14,16,280,1.87164697842672,0.246579648111947,1,0.968380558071658,0.0734644078477398
"99",99,28,64,1.34903942770325,0.4769242904149,12,0.497839975403622,0.0697476198106775
"86",86,79,250,1.66382113960572,0.345812704530545,26,0.675964878406376,0.0648361217845475
"134",134,52,214,1.75954240863211,0.330303038237616,24,0.840269689215347,0.0599920495792363
"157",157,101,284,1.06183983106166,0.379742465680465,0,0.831708861980587,0.0578418194782307
"54",54,20,40,1.88721915241331,0.197584753972478,8,0.792548122117296,0.0541388995948492
"6",6,85,262,1.57641037018038,0.490774811827578,18,0.784494620515034,0.0505300896443556
"191",191,24,276,1.7014809451066,0.399397253408097,26,0.669190174201503,0.04871634278741
"72",72,135,290,1.40542952390388,0.324024790199474,3,0.984603058779612,0.0410331470421481
"80",80,88,286,1.47162965242751,0.492263970547356,27,0.930978346150368,0.0398465446079808
"40",40,29,268,1.14246455463581,0.380796246929094,0,0.82204031618312,0.0397450286357052
"3",3,10,76,1.46172000397928,0.135058166808449,25,0.535381130175665,0.038697708606261
"176",176,88,204,1.03689538734034,0.441327128675766,12,0.829773044213653,0.0383195930926206
"159",159,39,274,1.22328575467691,0.100908119464293,3,0.832757570780814,0.0322075999931867
