"","Group.1","population_size","parent_size","rank","mutation_variation","mating","crossover_rate","mutation_rate","sigmaShare","alphaShare","score"
"291",291,37,378,1.56271605240181,0.347244498040527,10,0.983075010962784,0.298692491836846,0.776572436559945,2,9.11354283874986
"169",169,87,364,1.26660525016487,0.392252551671118,9,0.764000083412975,0.159756470820867,1.01801163889468,1,9.10687079199466
"267",267,114,366,1.29212994296104,0.250722843129188,14,0.827704813238233,0.187976745539345,1.35596622200683,1,9.08573152820267
"255",255,75,224,1.67223319443874,0.222963764239103,15,0.906597961485386,0.23632540460676,1.65584214776754,1,9.02975964851257
"295",295,60,238,1.52583812079392,0.258140283543617,14,0.903015554137528,0.220050547155552,0.633065296337008,2,8.99087661513774
"315",315,89,240,1.29032038073055,0.210778439696878,15,0.696216314658523,0.167949754395522,0.739765078760684,1,8.95228233271508
"83",83,51,462,1.66672929008491,0.254344853200018,7,0.691553958319128,0.348503481131047,0.458177141845226,2,8.94873203258966
"350",350,25,164,1.39914685366675,0.297223724704236,7,0.647421226929873,0.260119651211426,0.49122391268611,2,8.92950582282737
"188",188,36,368,1.31494735577144,0.289955664053559,7,0.764201217424125,0.274001872166991,1.28678676206619,2,8.83789615764766
"279",279,68,256,1.66994750532322,0.217029729578644,12,0.817855458986014,0.283261533011682,1.88305646181107,1,8.83661027784614
"272",272,75,290,1.37169676786289,0.241862011794001,6,0.773249792028219,0.267257461207919,1.04988916497678,2,8.82618395564468
"207",207,37,442,1.37316775051877,0.306580874230713,13,0.756041645351797,0.35436122410465,1.28657268919051,1,8.80714873021458
"304",304,71,286,1.40089783351868,0.216196165792644,3,0.727989644836634,0.310359332012013,1.63246908271685,2,8.8031914956157
"15",15,66,276,1.69184746309184,0.35817091697827,23,0.850717155076563,0.240270851878449,0.289296361617744,2,8.78280686094776
"142",142,76,280,1.74689314593561,0.220988885965198,7,0.944847280438989,0.380040816729888,0.916622455697507,1,8.77893997703848
"256",256,94,242,1.33977782665752,0.293775693327189,6,0.931969502847642,0.154838243382983,1.91986293764785,2,8.76918304642758
"282",282,56,440,1.53820741907693,0.312078899797052,25,0.839605118893087,0.285378573578782,0.429122236557305,2,8.76031498805506
"258",258,120,448,1.50147104524076,0.247318884730339,20,0.937164183706045,0.272842515143566,1.9239181461744,1,8.74786599768649
"332",332,113,274,1.47131016757339,0.262298256810755,4,0.699097051471472,0.151925615034997,1.38678766228259,1,8.74490714690589
"13",13,73,196,1.58324285745621,0.279763443954289,17,0.821881930157542,0.171908102813177,0.762569590471685,2,8.73283924116798
"251",251,119,384,1.3097337116953,0.349486561492085,10,0.929700398817658,0.210966275422834,0.427176702301949,2,8.72829313723632
