"","Group.1","population_size","parent_size","rank","mutation_variation","score"
"372",372,33,98,1.48137103044428,0.110640037455596,9.92764484234705
"897",897,37,122,1.71051220665686,0.136933629633859,9.85597665148374
"410",410,62,130,1.24119528080337,0.1618815792026,9.82046557788529
"711",711,32,146,1.74744783574715,0.180152392131276,9.76737417004518
"692",692,33,92,1.16314001730643,0.217918680864386,9.74786923792897
"323",323,53,124,1.2612728998065,0.193876004661433,9.73741630476754
"369",369,46,170,1.9730540018063,0.215412732213736,9.73003324813706
"671",671,34,110,1.92481915233657,0.247001179261133,9.68643511918769
"832",832,46,180,1.86403691302985,0.195886564208195,9.64874662129551
"36",36,56,180,1.87964846543036,0.260928340954706,9.61079754924678
"136",136,55,128,1.4760165438056,0.298343087895773,9.60984119962865
"110",110,72,182,1.9081110265106,0.230173874995671,9.60793003826041
"425",425,84,180,1.68990871682763,0.225494629121386,9.57470050877952
"843",843,46,144,1.45991319650784,0.307236910215579,9.53496705995626
"508",508,55,152,1.03541942615993,0.243732883711345,9.53111512618953
"927",927,38,90,1.8193914773874,0.332257330650464,9.52655847062986
"78",78,65,130,1.61843996844254,0.30386349267792,9.49862763718389
"641",641,83,210,1.71794266439974,0.229880812228657,9.47713154907366
"333",333,41,108,1.1786662901286,0.132191442768089,9.47084134893536
"63",63,30,144,1.72596822073683,0.291350897983648,9.46686172279563
"955",955,31,186,1.80618865508586,0.300506088300608,9.46607240440256
"483",483,87,188,1.48386019351892,0.241599682252854,9.42623735229905
"793",793,93,198,1.30075058480725,0.277886404772289,9.41404482231414
"207",207,51,114,1.89072180795483,0.373867110349238,9.3953688815078
"46",46,69,144,1.04612071532756,0.189306205371395,9.3559851179158
"924",924,85,224,1.6684389046859,0.271481920033693,9.3413054772975
"123",123,39,190,1.3830597915221,0.323611237574369,9.33868661115744
"24",24,61,152,1.79931945540011,0.366597280255519,9.31085038463292
"740",740,79,242,1.86183989373967,0.283696091151796,9.28351577688086
"467",467,50,160,1.99496058328077,0.408515628543682,9.27933987765014
"482",482,74,150,1.88323162542656,0.373558787046932,9.27283217371121
"960",960,66,248,1.73401019885205,0.273241940885782,9.27074722171729
"903",903,50,240,1.85107587231323,0.245240007760003,9.26960320217211
"298",298,33,70,1.13359189406037,0.426204855437391,9.25622750556367
"988",988,66,200,1.82068657130003,0.335005696746521,9.24217295396169
"819",819,65,232,1.68888247408904,0.33407797885593,9.21393978671127
"274",274,66,210,1.62103830231354,0.341668640961871,9.20548079837965
"865",865,93,232,1.77563761430793,0.340090246638283,9.20357853141902
"230",230,81,176,1.90635706763715,0.423370875418186,9.19445384449046
"124",124,33,206,1.41677777795121,0.406484011560678,9.17333868980477
"948",948,84,208,1.34968568547629,0.218503885436803,9.15814423418398
"453",453,43,134,1.75401193858124,0.432032964774407,9.13404795061446
"831",831,104,238,1.75011871755123,0.203376809484325,9.13086726769124
"420",420,38,142,1.21549943601713,0.397412369959056,9.12010384963128
"280",280,51,252,1.7556272232905,0.33409194345586,9.11951096979525
"650",650,35,96,1.62736998335458,0.435200007865205,9.11647868013521
"703",703,44,288,1.57721817819402,0.287193153169937,9.11354439347194
"348",348,59,224,1.36597738554701,0.260270787402987,9.11004426454156
"801",801,73,216,1.21482265787199,0.32005606405437,9.09772438193893
"795",795,84,168,1.7514000532683,0.387710356269963,9.0949220249026
"423",423,46,236,1.86018767999485,0.342514624004252,9.07037439744459
"889",889,128,264,1.68727251514792,0.297316460753791,9.02721519379671
"509",509,66,224,1.25658802641556,0.342568574589677,9.00575984827095
"967",967,67,218,1.07474117074162,0.353989541297778,9.00105115897067
"874",874,74,224,1.76564130280167,0.426029115100391,8.98857825095759
"605",605,79,250,1.41233847057447,0.271193474996835,8.9552532323416
"522",522,80,290,1.83299338188954,0.297877207747661,8.9504043231903
"312",312,79,178,1.02958946488798,0.219819977763109,8.94027607351521
"406",406,38,184,1.38473701965995,0.459266400896013,8.92838699336917
"780",780,74,202,1.0263041718863,0.295808154973201,8.90244209800245
"51",51,56,200,1.0721940647345,0.242163150571287,8.89800576303673
"72",72,51,222,1.89042401546612,0.437677873531356,8.88644923266581
"519",519,97,264,1.83095610258169,0.382457079249434,8.87666575971364
"336",336,52,194,1.79453613026999,0.458172309910879,8.87277787138854
"674",674,88,240,1.55326038505882,0.41287202690728,8.86515488951996
"751",751,39,230,1.48042162554339,0.392699331743643,8.8522496910008
"304",304,84,206,1.31258898181841,0.434030781616457,8.85037070336498
"618",618,137,274,1.79760670335963,0.380313301808201,8.80684302074578
"886",886,128,284,1.79537959303707,0.319789048167877,8.78960890854694
"732",732,58,210,1.98775946488604,0.16769625688903,8.76914191056155
"724",724,92,252,1.3841152114328,0.286389734828845,8.74840794678442
"528",528,58,260,1.99299612105824,0.434517615591176,8.74581649437075
"187",187,93,262,1.9579064140562,0.449849757365882,8.70443937013625
"682",682,113,254,1.15323336352594,0.381936137098819,8.6889144065684
"945",945,62,258,1.82531929970719,0.449685213854536,8.68163452095694
"162",162,76,268,1.80463309562765,0.451776140951551,8.67632476397703
"813",813,49,260,1.11866092449054,0.319527366780676,8.65462824915396
"822",822,107,242,1.82910429732874,0.224437033408321,8.65429953925049
"879",879,40,198,1.40386646939442,0.183929661870934,8.64609525028733
"384",384,52,270,1.2237285329029,0.308705437812023,8.59611454730792
"315",315,89,256,1.79258548561484,0.445928864530288,8.58547529869024
"861",861,87,210,1.0267482791096,0.445253475336358,8.5597333089061
"992",992,48,218,1.9985221431125,0.492335410788655,8.55904349101807
"706",706,99,270,1.51632553525269,0.411348865367472,8.54753355155075
"647",647,72,224,1.60276669659652,0.486488417955115,8.50256431729358
"261",261,94,192,1.08167993929237,0.460979797178879,8.4969586000959
"69",69,72,284,1.41184239904396,0.294103950611316,8.4846931113529
"555",555,113,286,1.89202889055014,0.281047839205712,8.45197877780444
"646",646,48,246,1.31418338115327,0.498352666269056,8.44191282296783
"371",371,83,286,1.94445008737966,0.207710738875903,8.37045299403748
"34",34,61,294,1.11328501277603,0.348337051109411,8.34087298592263
"764",764,78,286,1.23586555104703,0.375145764090121,8.31476279652454
"701",701,37,280,1.52545429277234,0.264798472868279,8.27709690136658
"561",561,53,276,1.04454486584291,0.454979417379946,8.26633405491646
"303",303,50,282,1.07500839070417,0.407742548501119,8.17561291797576
"259",259,80,270,1.09919002070092,0.39182757679373,8.14544935551352
"573",573,145,296,1.46345554245636,0.338611555285752,8.1207981145281
"574",574,111,250,1.11033340799622,0.464825794217177,8.06915365202211
"445",445,89,270,1.18440610752441,0.434980605146848,7.97069751964002
"374",374,103,256,1.07636127620935,0.293102257419378,7.96435962006512
"742",742,100,240,1.1838452978991,0.298539199284278,7.85910090785284
"942",942,36,292,1.08708580001257,0.327213762560859,7.84968287953146
"539",539,110,234,1.24574089469388,0.273440125165507,7.75623249732918
"465",465,53,170,1.29064127616584,0.156796139897779,7.68076751560045
"892",892,126,276,1.19157754862681,0.350016009761021,7.56074806073924
"811",811,87,300,1.30737354513258,0.316653709392995,7.45671308106868
"149",149,117,280,1.15855032415129,0.274565965868533,7.41155842012255
"665",665,145,294,1.06103031546809,0.419499609735794,7.39322086342008
"943",943,48,258,1.52636830951087,0.186241006711498,7.27275546231153
"514",514,143,286,1.00049005728215,0.439503840287216,7.25493359562743
"825",825,79,256,1.86697710072622,0.154898432898335,7.2090322322617
"715",715,103,270,1.80525109544396,0.206538817379624,7.05095859063637
"645",645,56,238,1.40419458481483,0.199597690021619,6.97348734906207
"582",582,114,296,1.03355714469217,0.336134642828256,6.89178724229551
"100",100,115,296,1.3624433670193,0.266927664983086,6.77209783946297
"745",745,98,228,1.59463486797176,0.13962218828965,6.4819610243235
"138",138,118,246,1.66827042680234,0.127442856552079,6.32031758339978
"491",491,53,274,1.39984064735472,0.214379208977334,6.28217278949118
"620",620,66,210,1.33341953041963,0.159604422049597,6.02351108018497
"404",404,45,184,1.2276136605069,0.124275120440871,5.9950799081367
"586",586,118,258,1.12242912268266,0.230347568402067,5.68194828313311
"583",583,145,290,1.3191214571707,0.242710720398463,5.66393328816082
"631",631,62,244,1.30025588371791,0.166960429516621,5.23574204893488
"270",270,122,280,1.34740403760225,0.192110200994648,5.09626145719849
"310",310,118,270,1.72005367465317,0.139081605826505,4.87483849783869
"174",174,72,264,1.03095808532089,0.211998088518158,4.47121714459019
"855",855,95,268,1.90524772717617,0.119187425705604,4.29285487186598
"35",35,120,286,1.39722308050841,0.161953056114726,4.1530080281114
"520",520,89,278,1.83294653170742,0.133386556059122,4.04952318905612
"205",205,124,298,1.07028956944123,0.190456708660349,3.7698090112354
"246",246,75,252,1.03033955907449,0.188569142716005,3.70257476687032
"428",428,82,280,1.65457587176934,0.122158066486008,2.93010351068857
"906",906,96,294,1.61594406794757,0.129001945373602,2.8713590622651
"912",912,90,226,1.60937581700273,0.109367869212292,2.77288709344094
"249",249,101,216,1.47409662790596,0.0771390896989033,2.22332437960068
"253",253,94,228,1.38623751257546,0.109695382998325,2.19742129875633
"564",564,68,184,1.10382585204206,0.103408974478953,2.03765348714484
"869",869,59,124,1.33803854230791,0.044436335680075,1.84802807681694
"826",826,34,258,1.77388397348113,0.0817225546343252,1.81073117676804
"122",122,52,280,1.23001479543746,0.181511883507483,1.76588685188914
"93",93,103,262,1.27964222570881,0.13219007931184,1.54551083677957
"730",730,87,300,1.13960499269888,0.136280557606369,1.47810442337563
"47",47,63,248,1.20430145435967,0.0928967131767422,1.39301590003049
"867",867,55,270,1.47629096196033,0.0891532816458493,1.22728597034325
"691",691,79,182,1.23648648499511,0.0653905651997775,1.07127976418194
"80",80,74,288,1.06722690956667,0.1439063079888,0.937428136350966
"150",150,131,300,1.22130197728984,0.120820863870904,0.918151968216263
"214",214,81,226,1.89809805992991,0.0577117876382545,0.868640479810084
"895",895,139,292,1.34587324340828,0.0336973102530465,0.753454502213771
"99",99,39,268,1.05760018364526,0.0987997588235885,0.711136365987363
"119",119,76,268,1.49336894531734,0.0780743900686502,0.647081927304208
"739",739,52,234,1.08038875646889,0.0675941716181114,0.580124641391447
"553",553,110,238,1.05212314799428,0.0557455664966255,0.527926719483959
"89",89,81,290,1.55004435242154,0.0741717085475102,0.524638146431435
"898",898,85,296,1.6719823454041,0.0706562804989517,0.475606640510158
"940",940,56,212,1.77098985644989,0.0543384758057073,0.420106121588992
"296",296,100,244,1.4059432700742,0.0193956126458943,0.39873410701964
"109",109,48,190,1.13046204019338,0.0508022691356018,0.395609681674432
"44",44,83,70,1.17131572496146,0.0466279292013496,0.31974878505386
"699",699,291,100,1.74462486687116,0.343802475486882,0.289413319200079
"381",381,63,132,1.94018085766584,0.0270558106712997,0.276843464469965
"455",455,90,210,1.51394885731861,0.0481313259806484,0.267376555920488
"542",542,129,264,1.46358203655109,0.0373607954243198,0.264282903182883
"833",833,112,238,1.98614849010482,0.0397633760003373,0.233914395186527
"66",66,107,276,1.34851009584963,0.0462415558286011,0.166494128419388
"677",677,75,204,1.60128538263962,0.0414800791768357,0.145813072343905
"487",487,58,212,1.34458631859161,0.00621381402015686,0.141225988258781
"746",746,30,284,1.03353184973821,0.0826342720538378,0.119641706002545
"39",39,170,280,1.66266065882519,0.235756063717417,0.11435765276878
"850",850,285,202,1.62188470596448,0.162454686127603,0.102355006691947
"587",587,282,76,1.02687913086265,0.214916792232543,0.0901699935789573
"212",212,31,214,1.0222485892009,0.0570972765563056,0.0884336759103142
"346",346,133,182,1.9783273995854,0.192316117929295,0.0828156022645495
"613",613,139,208,1.34074247232638,0.490171713172458,0.0783842290804743
"485",485,41,262,1.73591032531112,0.0319373579695821,0.0726631521688774
"476",476,171,276,1.25732604973018,0.239588033058681,0.0664595419290409
"980",980,126,254,1.57143249432556,0.000140199088491499,0.0630319514261529
"189",189,255,252,1.68714794237167,0.0232257256284356,0.0619797961621767
"220",220,206,148,1.9702459522523,0.397699533845298,0.0609287951052979
"376",376,275,54,1.2167008665856,0.196129846153781,0.0597458313267733
"784",784,164,212,1.12036585039459,0.338286394253373,0.0540830224397037
"497",497,181,214,1.03575640288182,0.441745050484315,0.0532347979551306
"735",735,230,132,1.57309035235085,0.173148965463042,0.0500752424826486
"705",705,287,114,1.38704010751098,0.36607683787588,0.0478868729359946
"272",272,71,140,1.02674942743033,0.381401892285794,0.0470985048519107
"211",211,200,66,1.14587438455783,0.0433704925235361,0.0455877119114532
