"","Group.1","population_size","parent_size","rank","mutation_variation","mating","crossover","score"
"69",69,70,14,1.43197410018183,0.317364437971264,21,0.457419882761315,2.98716263274833
"172",172,20,6,1.09583224751987,0.456613329821266,18,0.564097546739504,2.34838090407574
"158",158,45,30,1.41361247445457,0.280980246257968,10,0.615202388493344,1.88460626976079
"115",115,23,30,1.44687013933435,0.216689695953391,17,0.65580746717751,1.77201037153718
"113",113,82,2,1.41936850547791,0.477241288521327,23,0.282398826442659,1.59983368370185
"99",99,25,28,1.97300057648681,0.27438487787731,19,0.69124056212604,1.58382109084564
"193",193,101,18,1.89428373402916,0.370671672630124,27,0.201641981955618,1.20271725536928
"156",156,75,28,1.94199873018079,0.239221330033615,11,0.799441105918959,0.941429508133119
"23",23,45,102,1.8245572433807,0.49264958081767,7,0.708449800265953,0.896977933952332
"41",41,80,20,1.64347341144457,0.238596429117024,14,0.719065100187436,0.638859749961766
"59",59,59,150,1.81992827891372,0.486883259844035,16,0.717263425467536,0.565975155642521
"47",47,128,4,1.18360897689126,0.288763536838815,7,0.490389016689733,0.432299745714526
"18",18,139,22,1.78544740239158,0.286571734468453,2,0.915645509725437,0.370348621511256
"191",191,96,54,1.15191348502412,0.234133354621008,7,0.147683163173497,0.303883245717537
"110",110,24,52,1.76490422501229,0.123323589214124,22,0.889631935860962,0.210871453340969
"27",27,83,46,1.21226202347316,0.33558709663339,3,0.465668791439384,0.18358736240703
"87",87,67,44,1.68663698574528,0.366486172075383,13,0.405971983913332,0.166577399078832
"63",63,136,56,1.08684876956977,0.190310894744471,16,0.0348025425337255,0.16608176767948
"96",96,15,24,1.55094887921587,0.496717309462838,13,0.863731442485005,0.161870865855905
"167",167,55,108,1.4997437139973,0.411612397176214,12,0.733006244758144,0.160290911290777
"45",45,35,232,1.74869061633945,0.429636999266222,9,0.811467890860513,0.135187259152521
"75",75,135,66,1.40002493816428,0.422891226946376,0,0.540328483795747,0.131249558616589
"94",94,147,82,1.85451531643048,0.446433238568716,6,0.973730386001989,0.130693151621335
"128",128,97,60,1.45735895237885,0.428159283590503,10,0.150930904550478,0.127613403280895
"36",36,76,78,1.80986534547992,0.485020804218948,2,0.849586767377332,0.125300071498951
"177",177,108,56,1.7582062066067,0.272856257972308,16,0.93232111306861,0.117230569872555
"182",182,150,160,1.32633842760697,0.265032718773,21,0.958303478779271,0.102636111190633
"54",54,47,152,1.39998371852562,0.346153803984635,29,0.728767270687968,0.0892456374631174
"102",102,42,146,1.70720574492589,0.438765599275939,0,0.198604139266536,0.0881474882514063
"164",164,17,206,1.95647048251703,0.235647577675991,13,0.665483258431777,0.0820124438153675
"140",140,78,66,1.66436851327308,0.364355615456589,31,0.135565024567768,0.0802912057956672
"176",176,15,90,1.39756272640079,0.453627132461406,24,0.472595105646178,0.0766688812447598
"89",89,96,98,1.14095306955278,0.491720947087742,1,0.244503065943718,0.0716600658917654
"169",169,101,28,1.00499685318209,0.409669220913202,5,0.0667980129364878,0.0699184379433992
"76",76,79,32,1.33148453733884,0.168036717572249,29,0.208528196671978,0.0693156846171335
"50",50,126,74,1.82951733586378,0.28672019415535,22,0.966177987633273,0.0617484289289381
"117",117,125,246,1.86821253946982,0.352266205241904,5,0.986254276707768,0.0583000084257007
"51",51,20,298,1.57951440475881,0.18122614978347,6,0.433061382966116,0.0548531236195684
"32",32,114,132,1.82474074978381,0.412088060867973,3,0.627792031038553,0.0497798786690529
"195",195,149,186,1.04036811273545,0.429835442802869,23,0.792409836314619,0.0450746729188822
"77",77,74,94,1.43792577763088,0.302719336934388,20,0.663039458915591,0.0448710096085363
"46",46,88,44,1.69339727074839,0.459487297106534,32,0.0985222195740789,0.0436311681715353
"52",52,56,68,1.53885595547035,0.235877350321971,32,0.499593029264361,0.0424625427581652
"181",181,25,62,1.28373376769014,0.197549042641185,7,0.14885587641038,0.039147346702694
"155",155,144,22,1.30357312364504,0.42155629186891,25,0.0073833882343024,0.0384233579787562
"183",183,25,274,1.95710321818478,0.172164008836262,16,0.11906699417159,0.0379110998718602
"24",24,41,208,1.13675530091859,0.46433364355471,11,0.55531645542942,0.0327041011509542
"42",42,131,56,1.50587444705889,0.362049596849829,3,0.70784987648949,0.0308927340397475
"67",67,145,244,1.92178109986708,0.328877861611545,24,0.882761420216411,0.0301523675140666
"13",13,64,66,1.64367698924616,0.138807505951263,30,0.952469570795074,0.0276699243240044
"40",40,127,164,1.74188674101606,0.200186445144936,16,0.94915891205892,0.0269550041887332
"17",17,84,90,1.54185736784711,0.114292122656479,32,0.00985192321240902,0.0269355645395168
"180",180,32,112,1.9875089477282,0.309101086575538,4,0.550376432016492,0.0260623600532997
"137",137,70,130,1.99305461836047,0.00241580989677459,8,0.381603628862649,0.0250448417076757
"78",78,36,242,1.8125087483786,0.460326934116893,0,0.188539216527715,0.0236396889159711
"194",194,28,182,1.28665532590821,0.183768286253326,24,0.717300656950101,0.0210728337528983
"171",171,122,150,1.74737403099425,0.412083946052007,17,0.391886296216398,0.0200147571990996
"20",20,97,142,1.23127721296623,0.42170522431843,11,0.468131420435384,0.0191007691501216
"145",145,123,224,1.01465785549954,0.303820523200557,30,0.701788375619799,0.0190416582412165
"120",120,93,288,1.26790945278481,0.31254312233068,5,0.537595119792968,0.0183881661201715
"147",147,40,22,1.1397071685642,0.0490206374088302,6,0.0287649396341294,0.0179747249782506
"185",185,93,20,1.19943830673583,0.152518534217961,12,0.269730635453016,0.0171158914323279
"92",92,51,300,1.9020397325512,0.248866566922516,32,0.715682749869302,0.0168333142702862
"163",163,52,214,1.77842501923442,0.361886633909307,31,0.0574072254821658,0.0165165782422719
"74",74,107,110,1.37854968686588,0.1245639330009,26,0.664967129938304,0.0162292728400555
"6",6,118,106,1.0369240983855,0.400268664583564,30,0.0739256751257926,0.0155355686649417
"139",139,148,196,1.96369980485179,0.36030609253794,4,0.604195047635585,0.0150422616585311
"104",104,36,290,1.05095184757374,0.130902247619815,10,0.99106053262949,0.0143920241034523
"112",112,121,148,1.80937292729504,0.282316335011274,15,0.465023295721039,0.0132856995398573
"86",86,133,138,1.54870275733992,0.187419245834462,1,0.038435100344941,0.0132424654011805
"111",111,148,214,1.54046808020212,0.420308305183426,15,0.119701830903068,0.0121164068737769
"85",85,129,184,1.97406161692925,0.389815059374087,9,0.761448370991275,0.0119819938903269
